Model,precision@10,recall@10,hit_rate,ndcg@10
Demographic (gender),0.044000000000000004,0.02493027002237529,0.2,0.04145594470870753
Switching Hybrid,0.04,0.008571835126577216,0.18,0.04018894170083327
SVD,0.038000000000000006,0.027551942085410647,0.28,0.03901511169951368
Popularity,0.034,0.021754674344176425,0.26,0.032443700751210086
Demographic (age),0.028000000000000004,0.016679998329884788,0.22,0.030066755300003925
Weighted Hybrid,0.022000000000000002,0.006223204592030116,0.14,0.02173253830371281
Content-Based (BoW),0.014000000000000002,0.03320071684587814,0.14,0.025196233966720757
Item-Item CF,0.008,0.002599982381959126,0.08,0.0068194813967022315
Random,0.004,0.0009070464767616192,0.04,0.0040966849503718174
User-User CF,0.002,0.0009090909090909091,0.02,0.004401835325961603
